frequency,in_inventories,pk,unicode,jsondata
0.915488533,2914,17,\u006D,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Bilabial_nasal""}"
0.857681433,2730,13,\u006B,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_velar_stop""}"
0.853283066,2716,12,\u006A,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Palatal_approximant""}"
0.814954445,2594,23,\u0070,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_bilabial_stop""}"
0.780081684,2483,38,\u0077,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_labial%E2%80%93velar_approximant""}"
0.737983035,2349,18,\u006E,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Alveolar_nasal""}"
0.648444863,2064,28,\u0074,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Template_talk:Internet_dialects""}"
0.642161483,2044,16,\u006C,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Alveolar_lateral_approximant""}"
0.634621426,2020,26,\u0073,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant""}"
0.598806158,1906,41,\u0062,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_bilabial_stop""}"
0.595978637,1897,19,\u014B,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Velar_nasal""}"
0.537857367,1712,61,\u0261,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_velar_stop""}"
0.535029846,1703,9,\u0068,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_glottal_fricative""}"
0.432296576,1376,42,\u0064,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_alveolar_stop""}"
0.418473139,1332,79,\u0072,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Alveolar_trill""}"
0.417530631,1329,114,\u0066,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_labiodental_fricative""}"
0.394282124,1255,230,\u0272,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Palatal_nasal""}"
0.38265787,1218,30,\u0074\u0361,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_affricate""}"
0.355325165,1131,40,\u0294,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Glottal_stop""}"
0.346842601,1104,81,\u0283,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_fricative""}"
0.280552937,893,102,\u007A,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_alveolar_sibilant""}"
0.257618599,820,156,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_palato-alveolar_affricate""}"
0.256361923,816,140,\u0076,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Template:Internet_dialects""}"
0.243166824,774,216,\u027E,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Alveolar_flap""}"
0.222117499,707,194,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Template_talk:Internet_dialects""}"
0.209236569,666,150,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_alveolar_affricate""}"
0.190072259,605,14,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_velar_stop""}"
0.185988062,592,24,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_bilabial_stop""}"
0.180961357,576,98,\u0078,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_velar_fricative""}"
0.16713792,532,185,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Alveolar_nasal""}"
0.1511153,481,160,\u0288,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_retroflex_stop""}"
0.150172793,478,103,\u0292,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_palato-alveolar_fricative""}"
0.136977694,436,280,\u0263,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_velar_fricative""}"
0.136349356,434,168,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_alveolar_stop""}"
0.131322652,418,279,\u0063,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_palatal_stop""}"
0.126610116,403,29,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Template_talk:Internet_dialects""}"
0.12535344,399,186,\u0273,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Retroflex_nasal""}"
0.119384229,380,2204,,{}
0.117499215,374,603,,{}
0.117185046,373,607,,{}
0.116870877,372,318,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_velar_stop""}"
0.1156142,368,323,\u025F,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_palatal_stop""}"
0.112786679,359,212,\u026D,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Retroflex_lateral_approximant""}"
0.098334904,313,3171,,{}
0.098020735,312,206,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_alveolar_affricate""}"
0.096135721,306,151,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_bilabial_fricative""}"
0.096135721,306,310,\u027B,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Retroflex_approximant""}"
0.094250707,300,261,,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_bilabial_implosive""}"
0.091737355,292,240,,{}
0.084825636,270,242,,{}
0.084197298,268,246,,{}
0.080741439,257,157,\u0256,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_retroflex_stop""}"
