frequency,in_inventories,pk,unicode
0.873075715,2779,10,\u0069
0.831291235,2646,34,\u0075
0.81683946,2600,1,\u0061
0.578385171,1841,5,\u0065
0.573672636,1826,20,\u006F
0.354696827,1129,208,\u025B
0.336160855,1070,51,\u0254
0.21206409,675,177,\u0259
0.15425699,491,44,\u0268
0.139491046,444,148,\u026A
0.12849513,409,58,\u028A
0.090794848,289,149,\u006F\u031E
0.07068803,225,201,\u0251
0.070059692,223,3,\u00E6
0.060634621,193,36,\u026F
0.054979579,175,39,\u0079
0.04178448,133,282,\u028C
0.029531888,94,21,\u00F8
0.027961043,89,391,\u0153
0.026076029,83,7,\u0264
0.025133522,80,2140,\u0061\u0308
0.023562677,75,278,\u0250
0.021049325,67,343,\u0289
0.018535972,59,260,\u0252
0.013509268,43,338,\u0258
0.011310085,36,570,\u0275
0.010995916,35,113,\u025C
0.008796733,28,674,\u028F
0.001885014,6,843,\u025E
0.005026704,16,666,\u00F8\u031E
